id,name,email,role,createdAt,updatedAt
4dc155d5-fad1-4d00-9623-6f0671727074,Adam Zulauf,Marguerite.McDermott@yahoo.com,admin,2023-08-26T18:55:32.547Z,2024-08-20T17:36:12.322Z
cb84fba9-5db8-4b44-ab57-77c5dc0431fc,Karl Miller,Gavin_Connelly-Jacobson86@yahoo.com,user,2015-04-02T09:26:26.739Z,2024-08-20T20:14:45.718Z
f827e55a-d00b-4759-b0fc-dd1d57efdb12,Stephanie Marks,Lily.Bailey@gmail.com,admin,2024-12-13T02:05:44.059Z,2024-08-20T20:12:43.016Z
8dc42f6a-b410-46ab-8686-8c1d5a2ad1dd,Jasmine Hagenes,Glennie60@yahoo.com,admin,2023-11-19T01:25:58.942Z,2024-08-21T01:29:05.555Z
19b6f346-81b6-4e71-8371-fbb810efc147,Alexis Labadie,Vickie_Swaniawski83@gmail.com,user,2024-02-27T16:17:48.301Z,2024-08-21T04:13:22.469Z
449f0837-0257-42d3-b616-6b0da369c576,Dr. Shelley Bailey,Josiane25@gmail.com,admin,2019-01-19T14:16:06.296Z,2024-08-20T07:43:07.654Z
53a4fa59-ebd5-4766-86bd-012d90ec64f5,Alison Ankunding,Alisha93@gmail.com,user,2019-02-14T19:55:04.192Z,2024-08-20T19:19:13.191Z
c2085af8-5d56-4da6-8ea6-b0b721f0bb36,Raymond Wintheiser,Milford.Dooley@gmail.com,user,2022-06-02T15:19:08.316Z,2024-08-20T19:15:02.079Z
eb533a4a-92d8-48ad-a2da-09b2c654c3c2,Traci Bergnaum,Lucy.Mitchell17@gmail.com,admin,2017-08-09T13:58:07.117Z,2024-08-20T12:01:10.495Z
6a550b35-5cc2-4935-8379-cb08b077dd59,Vera Kiehn,Baylee42@hotmail.com,user,2021-01-30T15:39:44.272Z,2024-08-20T12:18:10.081Z
